temp,date,year,temp_agg
2.559342841312978,1961-01-01,1961,5.442670128843741
1.5193819407493403,1961-02-01,1961,5.442670128843741
1.6361773903802002,1961-03-01,1961,5.442670128843741
2.200060677317828,1961-04-01,1961,5.442670128843741
3.888882783849697,1961-05-01,1961,5.442670128843741
6.11001348618506,1961-06-01,1961,5.442670128843741
8.316361065490902,1961-07-01,1961,5.442670128843741
9.504835314953738,1961-08-01,1961,5.442670128843741
9.520119646373457,1961-09-01,1961,5.442670128843741
8.813328373625799,1961-10-01,1961,5.442670128843741
7.019285157316263,1961-11-01,1961,5.442670128843741
4.224252868569631,1961-12-01,1961,5.442670128843741
2.2622264973677693,1962-01-01,1962,4.473366476001287
1.000998125745451,1962-02-01,1962,4.473366476001287
0.17904079091388692,1962-03-01,1962,4.473366476001287
0.8464438633028886,1962-04-01,1962,4.473366476001287
2.778264613204416,1962-05-01,1962,4.473366476001287
4.960814710950181,1962-06-01,1962,4.473366476001287
7.008185501207441,1962-07-01,1962,4.473366476001287
8.334015391141964,1962-08-01,1962,4.473366476001287
8.661194648719567,1962-09-01,1962,4.473366476001287
7.89897469669036,1962-10-01,1962,4.473366476001287
6.100463732481449,1962-11-01,1962,4.473366476001287
3.6497751402900622,1962-12-01,1962,4.473366476001287
1.2561072370821522,1963-01-01,1963,4.021092849437892
0.05399879971187893,1963-02-01,1963,4.021092849437892
-0.24746593868556754,1963-03-01,1963,4.021092849437892
0.1710322035498706,1963-04-01,1963,4.021092849437892
2.168958935106968,1963-05-01,1963,4.021092849437892
4.465831472874121,1963-06-01,1963,4.021092849437892
6.5342875389764945,1963-07-01,1963,4.021092849437892
8.187059260456452,1963-08-01,1963,4.021092849437892
8.544932620144156,1963-09-01,1963,4.021092849437892
7.5898638238600284,1963-10-01,1963,4.021092849437892
5.993747489777923,1963-11-01,1963,4.021092849437892
3.5347607504002267,1963-12-01,1963,4.021092849437892
1.8486742520410377,1964-01-01,1964,4.332417723649761
0.5390739035303129,1964-02-01,1964,4.332417723649761
0.07009251205841682,1964-03-01,1964,4.332417723649761
0.7225230380848648,1964-04-01,1964,4.332417723649761
2.7501865566711885,1964-05-01,1964,4.332417723649761
5.014934743516044,1964-06-01,1964,4.332417723649761
6.925166445104006,1964-07-01,1964,4.332417723649761
8.146557186013123,1964-08-01,1964,4.332417723649761
8.515896696870492,1964-09-01,1964,4.332417723649761
7.742552315345838,1964-10-01,1964,4.332417723649761
5.8846847172833945,1964-11-01,1964,4.332417723649761
3.8286703172784122,1964-12-01,1964,4.332417723649761
2.023405207150385,1965-01-01,1965,4.376361375814289
0.853183639339604,1965-02-01,1965,4.376361375814289
0.26731093385949656,1965-03-01,1965,4.376361375814289
1.0022511279665118,1965-04-01,1965,4.376361375814289
2.7769356855371745,1965-05-01,1965,4.376361375814289
4.917273982645936,1965-06-01,1965,4.376361375814289
7.110574748964138,1965-07-01,1965,4.376361375814289
8.372734255051409,1965-08-01,1965,4.376361375814289
8.96992187024622,1965-09-01,1965,4.376361375814289
7.928317091734014,1965-10-01,1965,4.376361375814289
5.5537837588791525,1965-11-01,1965,4.376361375814289
2.7406442083974274,1965-12-01,1965,4.376361375814289
0.9519253579056812,1966-01-01,1966,4.027221748836086
-0.028903614430728197,1966-02-01,1966,4.027221748836086
-0.03490022140510707,1966-03-01,1966,4.027221748836086
0.45964114598474115,1966-04-01,1966,4.027221748836086
2.3688108462170385,1966-05-01,1966,4.027221748836086
4.715496219010654,1966-06-01,1966,4.027221748836086
6.712080124390926,1966-07-01,1966,4.027221748836086
8.131685814419718,1966-08-01,1966,4.027221748836086
8.302645384139673,1966-09-01,1966,4.027221748836086
7.4248353573224986,1966-10-01,1966,4.027221748836086
5.801944655915468,1966-11-01,1966,4.027221748836086
3.521399916562477,1966-12-01,1966,4.027221748836086
1.602138948923896,1967-01-01,1967,4.902488191411071
0.48630956476426324,1967-02-01,1967,4.902488191411071
0.7197014849257082,1967-03-01,1967,4.902488191411071
1.5749464798355701,1967-04-01,1967,4.902488191411071
3.305680494233531,1967-05-01,1967,4.902488191411071
5.4897820735688825,1967-06-01,1967,4.902488191411071
7.463149197540224,1967-07-01,1967,4.902488191411071
8.86436672460935,1967-08-01,1967,4.902488191411071
9.400965219482108,1967-09-01,1967,4.902488191411071
8.777360345587411,1967-10-01,1967,4.902488191411071
7.111455408533077,1967-11-01,1967,4.902488191411071
4.034002354928832,1967-12-01,1967,4.902488191411071
1.6251389743186073,1968-01-01,1968,4.574276285470152
0.7681671515972202,1968-02-01,1968,4.574276285470152
0.4311522183185197,1968-03-01,1968,4.574276285470152
1.3978643003732523,1968-04-01,1968,4.574276285470152
3.3169389258370803,1968-05-01,1968,4.574276285470152
5.334214989663546,1968-06-01,1968,4.574276285470152
7.5008585100168865,1968-07-01,1968,4.574276285470152
8.633690177268637,1968-08-01,1968,4.574276285470152
9.09854766931974,1968-09-01,1968,4.574276285470152
7.511609703236861,1968-10-01,1968,4.574276285470152
5.5728832830133905,1968-11-01,1968,4.574276285470152
3.7002495226780763,1968-12-01,1968,4.574276285470152
1.6861310461230512,1969-01-01,1969,4.1029002152591545
0.5238508265454467,1969-02-01,1969,4.1029002152591545
-0.03965600097216804,1969-03-01,1969,4.1029002152591545
0.5069475516752435,1969-04-01,1969,4.1029002152591545
2.4395202075252786,1969-05-01,1969,4.1029002152591545
4.518299157492716,1969-06-01,1969,4.1029002152591545
6.5612125682316895,1969-07-01,1969,4.1029002152591545
7.977646819739929,1969-08-01,1969,4.1029002152591545
8.449544619246891,1969-09-01,1969,4.1029002152591545
7.605619732151371,1969-10-01,1969,4.1029002152591545
5.833501591565088,1969-11-01,1969,4.1029002152591545
3.172184463785311,1969-12-01,1969,4.1029002152591545
1.042258084687988,1970-01-01,1970,4.003000011592713
0.03844917946285786,1970-02-01,1970,4.003000011592713
-0.25276405203726693,1970-03-01,1970,4.003000011592713
0.41309832064545837,1970-04-01,1970,4.003000011592713
2.493297489912888,1970-05-01,1970,4.003000011592713
4.719414972822387,1970-06-01,1970,4.003000011592713
6.844535904256222,1970-07-01,1970,4.003000011592713
8.199668713290194,1970-08-01,1970,4.003000011592713
8.318043138722153,1970-09-01,1970,4.003000011592713
7.2494015105208565,1970-10-01,1970,4.003000011592713
5.3766904695283495,1970-11-01,1970,4.003000011592713
3.5939064073004596,1970-12-01,1970,4.003000011592713
1.8693326506881491,1971-01-01,1971,4.5209478719251965
1.1123232235292728,1971-02-01,1971,4.5209478719251965
0.33675258524853025,1971-03-01,1971,4.5209478719251965
1.1743985420006506,1971-04-01,1971,4.5209478719251965
2.949809766599821,1971-05-01,1971,4.5209478719251965
5.145534762921999,1971-06-01,1971,4.5209478719251965
7.181045427205024,1971-07-01,1971,4.5209478719251965
8.7493710711591,1971-08-01,1971,4.5209478719251965
8.779962960020338,1971-09-01,1971,4.5209478719251965
7.785555137528233,1971-10-01,1971,4.5209478719251965
5.674144019303559,1971-11-01,1971,4.5209478719251965
3.493144316897679,1971-12-01,1971,4.5209478719251965
1.8456366322606228,1972-01-01,1972,4.493079226741094
0.40011380912014616,1972-02-01,1972,4.493079226741094
0.34381377275761604,1972-03-01,1972,4.493079226741094
1.1668118867775656,1972-04-01,1972,4.493079226741094
3.0287200710320326,1972-05-01,1972,4.493079226741094
5.245130953398125,1972-06-01,1972,4.493079226741094
7.101200593017774,1972-07-01,1972,4.493079226741094
8.544318103088688,1972-08-01,1972,4.493079226741094
8.697582802805965,1972-09-01,1972,4.493079226741094
