year,sp,effort,source,source2
2010,Cod,0.422,assessment,Assessment F
2010,Herring,0.2065,assessment,Assessment F
2010,Sprat,0.34,assessment,Assessment F
1961,Cod,0.6692152463361438,FishMIP_assessment F max,FishMIP F scaled
1962,Cod,0.6681078768258201,FishMIP_assessment F max,FishMIP F scaled
1963,Cod,0.6581208838752668,FishMIP_assessment F max,FishMIP F scaled
1964,Cod,0.7081076202750773,FishMIP_assessment F max,FishMIP F scaled
1965,Cod,0.7063052764251451,FishMIP_assessment F max,FishMIP F scaled
1966,Cod,0.7116114450337012,FishMIP_assessment F max,FishMIP F scaled
1967,Cod,0.7099552797735446,FishMIP_assessment F max,FishMIP F scaled
1968,Cod,0.7032345962421418,FishMIP_assessment F max,FishMIP F scaled
1969,Cod,0.6885881553950323,FishMIP_assessment F max,FishMIP F scaled
1970,Cod,1.0806013453621448,FishMIP_assessment F max,FishMIP F scaled
1971,Cod,1.1119066566429663,FishMIP_assessment F max,FishMIP F scaled
1972,Cod,1.0631706369540148,FishMIP_assessment F max,FishMIP F scaled
1973,Cod,0.8954434639323224,FishMIP_assessment F max,FishMIP F scaled
1974,Cod,1.3913175538087463,FishMIP_assessment F max,FishMIP F scaled
1975,Cod,1.8703050891971733,FishMIP_assessment F max,FishMIP F scaled
1976,Cod,1.104449007611318,FishMIP_assessment F max,FishMIP F scaled
1977,Cod,0.9627422580408823,FishMIP_assessment F max,FishMIP F scaled
1978,Cod,0.9936625650491016,FishMIP_assessment F max,FishMIP F scaled
1979,Cod,0.907200900070201,FishMIP_assessment F max,FishMIP F scaled
1980,Cod,0.8735455992172051,FishMIP_assessment F max,FishMIP F scaled
1981,Cod,0.787527407034556,FishMIP_assessment F max,FishMIP F scaled
1982,Cod,0.7733464258880474,FishMIP_assessment F max,FishMIP F scaled
1983,Cod,0.7571519660979553,FishMIP_assessment F max,FishMIP F scaled
1984,Cod,0.7337530648968594,FishMIP_assessment F max,FishMIP F scaled
1985,Cod,0.736710728720675,FishMIP_assessment F max,FishMIP F scaled
1986,Cod,0.7824281942142368,FishMIP_assessment F max,FishMIP F scaled
1987,Cod,0.7756082236075031,FishMIP_assessment F max,FishMIP F scaled
1988,Cod,0.7582225223502904,FishMIP_assessment F max,FishMIP F scaled
1989,Cod,0.9450921096205946,FishMIP_assessment F max,FishMIP F scaled
1990,Cod,0.7853432599055977,FishMIP_assessment F max,FishMIP F scaled
1991,Cod,0.7712464715373002,FishMIP_assessment F max,FishMIP F scaled
1992,Cod,0.7252668343387224,FishMIP_assessment F max,FishMIP F scaled
1993,Cod,1.6524123182017187,FishMIP_assessment F max,FishMIP F scaled
1994,Cod,1.018149510233425,FishMIP_assessment F max,FishMIP F scaled
1995,Cod,0.687756785289678,FishMIP_assessment F max,FishMIP F scaled
1996,Cod,0.7079259715410213,FishMIP_assessment F max,FishMIP F scaled
1997,Cod,0.6861544847668616,FishMIP_assessment F max,FishMIP F scaled
1998,Cod,0.6792654211787383,FishMIP_assessment F max,FishMIP F scaled
